ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-11-17T00:00:00.000Z,3TYLC5LN4RT010991,2024,Tacoma TRD Off-Road,Available,False,Factory to port,53250,UNDERGROUND,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),418,Vic Vaughan Toyota of Boerne,https://www.vicvaughantoyotaofboerne.com,False,14-in. Audio Multimedia Display | 50 State Emissions | ARB Rear Tow Hooks** | Bed Scene Lighting** | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Rock Rails** | Spray-On Bed Liner** | TRD Off Road Package: | Tailgate Insert - Black | Vehicle Fueling | Vehicle Protection Package
2024-11-17T00:00:00.000Z,3TYLC5LN4RT011106,2024,Tacoma TRD Sport,Available,False,Factory to port,52377,UNDERGROUND,FABRIC BOULDER/BLACK (SMOKE SILVER),435,Cavender Toyota,https://www.cavendertoyota.com,True,14-in. Audio Multimedia Display | 50 State Emissions | Bed Step (non-powered)** | Cavender Protection Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Illuminated Front Emblem | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | Tailgate Insert - Black | Vehicle Fueling | Vehicle Protection Premium Package
2024-11-27T00:00:00.000Z,3TYLC5LN4RT43A898,2024,Tacoma TRD Off-Road,Available,False,Factory to port,52646,BLUE CRUSH METALLIC,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),286,Landers Toyota,https://www.landerstoyota.com,True,14-in. Audio Multimedia Display | 50 State Emissions | ARB Rear Tow Hooks** | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Lemon Law Book | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Predator Drop Step** | Spray-On Bed Liner** | TRD Off Road Package: | Tailgate Insert - Black | Truck Appearance Package | Vehicle Fueling | Vehicle Protection Premium Package
2024-12-23,3TYLC5LN4RT46E033,2024,Tacoma TRD Off-Road,,False,Factory to port,55464,ICE CAP,FABRIC 3 BLACK/WHITE,490,Coad Toyota Paducah,https://www.coadtoyotapaducah.com,True,14-in. Audio Multimedia Display (with TRD Off-Road Upgrade Package) | 50 State Emissions | All Weather Floor Liners | Brake Plus | Moonroof<br> | Mudguards | Stabilizer Disconnect Mechanism (SDM)<br> | TRD Off-Road Upgrade Package<br>
2024-07-02T00:00:00.000Z,3TYLC5LN5RT000969,2024,Tacoma TRD Sport,Available,False,At dealer,52006,CELESTIAL SILVER METALLIC,FABRIC BOULDER/BLACK (SMOKE SILVER),17,Post Oak Toyota,https://www.postoaktoyota.com,False,50 State Emissions | ARB Rear Tow Hooks** | Bed Extender | Bed Scene Lighting** | Blackout Package | Connectivity Kit | Dash Cam | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Post Oak Advantage | Predator Drop Step** | Spray-On Bed Liner** | Vehicle Fueling | Vehicle Protection Package
2024-07-17,3TYLC5LN5RT001006,2024,Tacoma TRD Off-Road,DealerHold,False,At dealer,54639,ICE CAP,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),424,Jay Wolfe Toyota of West County,https://www.toyotaofwestcounty.com,False,50 State Emissions | Bed Mat<br>[installed_msrp] | Door Edge Guards[installed_msrp] | Door Panel Scuff Protectors[installed_msrp] | Mini Tie-Downs with Hooks[installed_msrp] | Moonroof<br> | Mudguards | TRD Off-Road Upgrade Package<br> | Tonneau Cover: Soft<br><br>[installed_msrp]
2024-07-24T00:00:00.000Z,3TYLC5LN5RT003032,2024,Tacoma TRD Off-Road,Available,False,At dealer,57060,CELESTIAL SILVER METALLIC,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),430,Mike Calvert Toyota,https://www.mikecalverttoyota.com,False,50 State Emissions | ARB Rear Tow Hooks** | Ball Mount | Bed Extender | Bed Scene Lighting** | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Rock Rails** | Spray-On Bed Liner** | TRD Off-Road Upgrade Package<br> | Vehicle Fueling | Vehicle Protection Package
2024-07-19T00:00:00.000Z,3TYLC5LN5RT003645,2024,Tacoma TRD Sport,Available,True,At dealer,51007,UNDERGROUND,FABRIC BOULDER/BLACK (SMOKE SILVER),181,Landers Toyota NWA,https://www.landerstoyotanwa.com,False,50 State Emissions | APP PACK | Bed Step (non-powered)** | Blackout Package | Dash Cam | Exhaust Tip - Black Chrome** | Lemon Law Book | Mudguards | Owner's Portfolio | PDS - Pre-Delivery Services | Predator Drop Step** | Spray-On Bed Liner** | Vehicle Fueling | Vehicle Protection Package
2024-08-01T00:00:00.000Z,3TYLC5LN5RT004147,2024,Tacoma TRD Sport,Available,False,At dealer,51567,BLUE CRUSH METALLIC,FABRIC BOULDER/BLACK (SMOKE SILVER),260,Classic Toyota,https://www.classictoyotatyler.com,False,50 State Emissions | Bed Extender | Bed Step (non-powered)** | Blackout Package | Connectivity Kit | Dash Cam | Exhaust Tip - Black Chrome** | Mudguards | Owner's Portfolio | PDS - with Texas State Inspection | Predator Drop Step** | Spray-On Bed Liner** | Vehicle Fueling | Vehicle Protection Package
2024-08-05,3TYLC5LN5RT004648,2024,Tacoma TRD Off-Road,Available,False,At dealer,52485,ICE CAP,FABRIC 3 BOULDER/BLACK (SMOKE SILVER),452,Mungenast Alton Toyota,https://www.altontoyota.com,True,50 State Emissions | Mudguards | TRD Off-Road Upgrade Package<br>
