ETA,VIN,Year,Model,Hold Status,Pre-Sold,Shipping Status,Total MSRP,Exterior Color,Interior Color,Distance,Dealer,Dealer Website,SmartPath,Options
2024-10-08,JTENU5JR9R6307645,2024,4Runner SR5 Premium,DealerHold,False,Port to dealer,50973,Underground,Black/Graphite Softex® [softex],492,Right Toyota,https://www.righttoyota.com,False,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Cargo Cover[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Running Boards | SR5 Premium Package w/ Softex | TRD Black Wheel Package[installed_msrp] | Third Row Seating - Softex
Unknown,JTENU5JRXR6301482,2024,4Runner SR5 Premium,DealerHold,True,At dealer,48529,Underground,Black/Graphite Softex® [softex],461,Hatch Toyota,https://www.hatchtoyota.com,False,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Premium Package | Third Row Seating - Softex
2024-08-30,JTENU5JRXR6304382,2024,4Runner SR5 Premium,DealerHold,False,At dealer,47249,Ice Cap,Sand Beige Softex® [softex],369,Mountain States Toyota,https://www.mountainstatestoyota.com,False,50 State Emissions | Carpet Floor Mats & Carpet Cargo Mat[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Premium Package
2024-09-18,JTENU5JRXR6305855,2024,4Runner SR5 Premium,Available,True,At dealer,47878,Nautical Blue Metallic,Black/Graphite Softex® [softex],465,Rogers Toyota,https://www.toyotaoflewiston.com,True,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Exhaust Tip - Black Chrome[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Roof Rack Cross Bars[installed_msrp] | SR5 Premium Package w/ Softex | USB Dual Power Port[installed_msrp]
Unknown,JTENU5JRXR6307136,2024,4Runner SR5 Premium,DealerHold,False,At dealer,49079,Midnight Black Metallic,Black/Graphite Softex® [softex],492,Right Toyota,https://www.righttoyota.com,False,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Roof Rack Cross Bars[installed_msrp] | Running Boards | SR5 Premium Package w/ Softex | Third Row Seating - Softex
2024-09-13,JTENU5JRXR6307962,2024,4Runner SR5 Premium,,False,At dealer,48748,Midnight Black Metallic,Black/Graphite Softex® [softex],359,Centennial Toyota,https://www.centennialtoyota.com,False,50 State Emissions | Carpet Floor Mats & Carpet Cargo Mat[installed_msrp] | Dual Power Port/Quick Charging Cable Package[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Moonroof | Roof Rack Cross Bars[installed_msrp] | SR5 Premium Package w/ Softex | Third Row Seating - Softex
Unknown,JTEPU5JR1R6307826,2024,4Runner TRD Off-Road,,False,At dealer,47229,Ice Cap,Black/Graphite Fabric,379,AutoNation Toyota Arapahoe,https://www.autonationtoyotaarapahoe.com,True,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Off Road Package | Premium Audio
2024-10-08,JTEPU5JR4R6307674,2024,4Runner TRD Off-Road,DealerHold,False,Port to dealer,47034,Ice Cap,Black/Graphite Fabric,492,Larry H. Miller Toyota Peoria,https://www.larrymillertoyota.com,False,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Off Road Package | Premium Audio | Roof Rack Cross Bars[installed_msrp]
2024-09-11,JTEPU5JR6R6306302,2024,4Runner TRD Off-Road,DealerHold,False,At dealer,47229,Ice Cap,Black/Graphite Fabric,379,AutoNation Toyota Arapahoe,https://www.autonationtoyotaarapahoe.com,True,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | Blackout Emblem Overlays[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Off Road Package | Premium Audio
2024-09-24,JTERU5JR0R6306112,2024,4Runner TRD Off-Road Premium,DealerHold,False,At dealer,49174,Underground,Black/Graphite Softex® [softex],299,Peterson Toyota,https://www.petersontoyota.net,False,50 State Emissions | All-Weather Floor Liners & Cargo Tray Package[installed_msrp] | High Performance LED Fog Lights - Black[installed_msrp] | Keep it Wild Savings [keep_it_wild_21] | Off Road Package | Premium Package
